01.00.00 МАТЕМАТИКА И МЕХАНИКА
01.04.01 Математика
01.04.02 Прикладная математика и информатика
01.04.03 Механика и математическое моделирование
01.04.04 Прикладная математика
01.04.05 Статистика
02.00.00 КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ
02.04.01 Математика и компьютерные науки
02.04.02 Фундаментальная информатика и информационные технологии
02.04.03 Математическое обеспечение и администрирование информационных систем
03.00.00 ФИЗИКА И АСТРОНОМИЯ
03.04.01 Прикладные математика и физика
03.04.02 Физика
03.04.03 Радиофизика
04.00.00 ХИМИЯ
04.04.01 Химия
04.04.02 Химия, физика и механика материалов
05.00.00 НАУКИ О ЗЕМЛЕ
05.04.01 Геология
05.04.02 География
05.04.03 Картография и геоинформатика
05.04.04 Гидрометеорология
05.04.05 Прикладная гидрометеорология
05.04.06 Экология и природопользование
06.00.00 БИОЛОГИЧЕСКИЕ НАУКИ
06.04.01 Биология
06.04.02 Почвоведение
07.00.00 АРХИТЕКТУРА
07.04.01 Архитектура
07.04.02 Реконструкция и реставрация архитектурного наследия
07.04.03 Дизайн архитектурной среды
07.04.04 Градостроительство
08.00.00 ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
08.04.01 Строительство
09.00.00 ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА
09.04.01 Информатика и вычислительная техника
09.04.02 Информационные системы и технологии
09.04.03 Прикладная информатика
09.04.04 Программная инженерия
10.00.00 ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ
10.04.01 Информационная безопасность
11.00.00 ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ
11.04.01 Радиотехника
11.04.02 Инфокоммуникационные технологии и системы связи
11.04.03 Конструирование и технология электронных средств
11.04.04 Электроника и наноэлектроника
12.00.00 ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ
12.04.01 Приборостроение
12.04.02 Оптотехника
12.04.03 Фотоника и оптоинформатика
12.04.04 Биотехнические системы и технологии
12.04.05 Лазерная техника и лазерные технологии
13.00.00 ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА
13.04.01 Теплоэнергетика и теплотехника
13.04.02 Электроэнергетика и электротехника
13.04.03 Энергетическое машиностроение
14.00.00 ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ
14.04.01 Ядерная энергетика и теплофизика
14.04.02 Ядерные физика и технологии
15.00.00 МАШИНОСТРОЕНИЕ
15.04.01 Машиностроение
15.04.02 Технологические машины и оборудование
15.04.03 Прикладная механика
15.04.04 Автоматизация технологических процессов и производств
15.04.05 Конструкторско-технологическое обеспечение машиностроительных производств
15.04.06 Мехатроника и робототехника
16.00.00 ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ
16.04.01 Техническая физика
16.04.02 Высокотехнологические плазменные и энергетические установки
16.04.03 Холодильная, криогенная техника и системы жизнеобеспечения
17.00.00 ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ
17.04.01 Корабельное вооружение
18.00.00 ХИМИЧЕСКИЕ ТЕХНОЛОГИИ
18.04.01 Химическая технология
18.04.02 Энерго- и ресурсосберегающие процессы в
19.00.00 ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ
19.04.01 Биотехнология
19.04.02 Продукты питания из растительного сырья
19.04.03 Продукты питания животного происхождения
19.04.04 Технология продукции и организация общественного питания
