number;name
34.03.01;Сестринское дело
35.00.00;СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО
35.03.01;Лесное дело
35.03.02;Технология лесозаготовительных и деревоперерабатывающих производств
35.03.03;Агрохимия и агропочвоведение
35.03.04;Агрономия
35.03.05;Садоводство
35.03.06;Агроинженерия
35.03.07;Технология производства и переработки сельскохозяйственной продукции
35.03.08;Водные биоресурсы и аквакультура
35.03.09;Промышленное рыболовство
35.03.10;Ландшафтная архитектура
36.00.00;ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ
36.03.01;Ветеринарно-санитарная экспертиза
36.03.02;Зоотехния
37.00.00;ПСИХОЛОГИЧЕСКИЕ НАУКИ
37.03.01;Психология
37.03.02;Конфликтология
38.00.00;ЭКОНОМИКА И УПРАВЛЕНИЕ
38.03.01;Экономика
38.03.02;Менеджмент
38.03.03;Управление персоналом
38.03.04;Государственное и муниципальное управление
38.03.05;Бизнес-информатика
38.03.06;Торговое дело
38.03.07;Товароведение
38.03.10;Жилищное хозяйство и коммунальная инфраструктура
39.00.00;СОЦИОЛОГИЯ И СОЦИАЛЬНАЯ РАБОТА
39.03.01;Социология
39.03.02;Социальная работа
39.03.03;Организация работы с молодежью
40.00.00;ЮРИСПРУДЕНЦИЯ
40.03.01;Юриспруденция
41.00.00;ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ
41.03.01;Зарубежное регионоведение
41.03.02;Регионоведение России
41.03.03;Востоковедение и африканистика
41.03.04;Политология
41.03.05;Международные отношения
41.03.06;Публичная политика и социальные науки
42.00.00;СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО
42.03.01;Реклама и связи с общественностью
42.03.02;Журналистика
42.03.03;Издательское дело
42.03.04;Телевидение
42.03.05;Медиакоммуникации
43.00.00;СЕРВИС И ТУРИЗМ
43.03.01;Сервис
43.03.02;Туризм
43.03.03;Гостиничное дело
44.00.00;ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ
44.03.01;Педагогическое образование
44.03.02;Психолого-педагогическое образование
44.03.03;Специальное (дефектологическое) образование
44.03.04;Профессиональное обучение (по отраслям)
44.03.05;Педагогическое образование (с двумя профилями подготовки)
45.00.00;ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ
45.03.01;Филология
45.03.02;Лингвистика
45.03.03;Фундаментальная и прикладная лингвистика
45.03.04;Интеллектуальные системы в гуманитарной сфере
46.00.00;ИСТОРИЯ И АРХЕОЛОГИЯ
46.03.01;История
46.03.02;Документоведение и архивоведение
46.03.03;Антропология и этнология
47.00.00;ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ
47.03.01;Философия
47.03.02;Прикладная этика
47.03.03;Религиоведение
48.00.00;ТЕОЛОГИЯ
48.03.01;Теология
49.00.00;ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ
49.03.01;Физическая культура
49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
49.03.03;Рекреация и спортивнооздоровительный туризм
50.00.00;ИСКУССТВОЗНАНИЕ
50.03.01;Искусства и гуманитарные науки
50.03.02;Изящные искусства
50.03.03;История искусств
50.03.04;Теория и история искусств
51.00.00;КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ
51.03.01;Культурология
51.03.02;Народная художественная культура
51.03.03;Социально-культурная деятельность
51.03.04;Музеология и охрана объектов культурного и природного наследия
51.03.05;Режиссура театрализованных представлений и праздников
51.03.06;Библиотечно-информационная деятельность
52.00.00;СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО
52.03.01;Хореографическое искусство
52.03.02;Хореографическое исполнительство
52.03.03;Цирковое искусство
52.03.04;Технология художественного оформления спектакля
52.03.05;Театроведение
52.03.06;Драматургия
53.00.00;МУЗЫКАЛЬНОЕ ИСКУССТВО
53.03.01;Музыкальное искусство эстрады
53.03.02;Музыкально-инструментальное искусство
53.03.03;Вокальное искусство Концертно-камерный певец.
53.03.04;Искусство народного пения
53.03.05;Дирижирование
53.03.06;Музыкознание и музыкальноприкладное искусство
54.00.00;ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ
54.03.01;Дизайн
54.03.02;Декоративно-прикладное искусство и народные промыслы
54.03.03;Искусство костюма и текстиля
54.03.04;Реставрация
