name,surname,priority
Климентий,Климентиевич,0
Кондрат,Кондратович,181
Кондратий,Кондратьевич,146
Конон,Кононович,0
Константин,Константинович,327
Корней,Корнеевич,0
Корнил,Корнилович,0
Корнилий,Корнилиевич,0
Ксенофонт,Ксенофонтович,91
Кузьма,Кузьмич,276
Куприян,Куприянович,122
Лавр,Лаврович,37
Лаврентий,Лаврентиевич,226
Лазарь,Лазаревич,179
Ларион,Ларионович,0
Лев,Львович,293
Леон,Леонович,0
Леонард,Леонардович,0
Леонид,Леонидович,317
Леонтий,Леонтиевич,256
Леопольд,Леопольдович,0
Логвин,Логвинович,0
Лука,Лукич,232
Лукьян,Лукьянович,170
Маврикий,Маврикиевич,0
Май,Маевич,0
Макар,Макарович,266
Макарий,Макариевич,0
Максим,Максимович,332
Максимиан,Максимианович,0
Максимилиан,Максимилианович,0
Максимильян,Максимильянович,0
Мануил,Мануилович,0
Марк,Маркович,289
Маркел,Маркелович,100
Марлен,Марленович,0
Мартимьян,Мартимьянович,0
Мартин,Мартинович,0
Мартиниан,Мартинианович,0
Мартын,Мартынович,158
Мартьян,Мартьянович,0
Матвей,Матвеевич,297
Мелентий,Мелентиевич,0
Мелетий,Мелетиевич,0
Меркул,Меркулович,0
Меркурий,Меркуриевич,0
Мефодий,Мефодиевич,151
Милий,Милиевич,0
Мина,Минич,0
Минай,Минаевич,0
Мирон,Миронович,246
Митрофан,Митрофанович,251
Митрофаний,Митрофаниевич,0
Михаил,Михаилович,341
Михей,Михеевич,0
Модест,Модестович,63
Моисей,Моисеевич,233
Мокей,Мокеевич,0
Мокий,Мокиевич,0
Мстислав,Мстиславович,70
Назар,Назарович,270
Назарий,Назариевич,0
Наркис,Наркисович,0
Наум,Наумович,197
Нестер,Нестерович,0
Нестор,Несторович,137
Нефёд,Нефёдович,0
Никандр,Никандрович,0
Никанор,Никанорович,156
Никита,Никитич,320
Никифор,Никифорович,261
Никодим,Никодимович,105
Николай,Николаевич,344
Никон,Никонович,129
Нил,Нилович,0
Нифонт,Нифонтович,0
Олег,Олегович,334
Олимпий,Олимпиевич,0
Онисим,Онисимович,0
Онуфрий,Онуфриевич,111
Орест,Орестович,0
Осип,Осипович,192
Оскар,Оскарович,149
Остап,Остапович,0
Павел,Павлович,333
Павлин,Павлинович,0
Палладий,Палладиевич,0
Памфил,Памфилович,0
Памфилий,Памфильевич,0
Панкрат,Панкратович,0
Панкратий,Панкратиевич,0
Пантелей,Пантелеевич,220
Пантелеймон,Пантелеймонович,0
Панфил,Панфилович,32
Парамон,Парамонович,0
Пармен,Парменович,0
Пармён,Пармёнович,0
Парфён,Парфёнович,0
Парфений,Парфениевич,0
Парфентий,Парфентьевич,0
Патрикей,Патрикеевич,0
Патрикий,Патрикиевич,0
Пафнутий,Пафнутиевич,0
Пахом,Пахомович,0
Пахомий,Пахомиевич,0
Пётр,Петрович,0
Пимен,Пименович,73
Платон,Платонович,234
Полиевкт,Полиевктович,0
Полиект,Полиектович,0
Поликарп,Поликарпович,171
Поликарпий,Поликарпиевич,0
Порфир,Порфирович,0
Порфирий,Порфириевич,152
Потап,Потапович,118
Пров,Прович,0
Прокл,Проклович,0
Прокоп,Прокопович,0
Прокопий,Прокопиевич,0
Прокофий,Прокофьевич,218
Протас,Протасович,0
Протасий,Протасиевич,0
Прохор,Прохорович,202
Радий,Радиевич,95
Рафаил,Рафаилович,211
Роберт,Робертович,271
Родион,Родионович,268
Роман,Романович,329
Ростислав,Ростиславович,278
Рудольф,Рудольфович,236
Руслан,Русланович,300
Рюрик,Рюрикович,0
Савва,Саввич,193
Савватей,Савватеевич,0
Савватий,Савватиевич,0
Савёл,Савёлович,0
Савелий,Савелиевич,265
Самойла,Самойлович,0
Самсон,Самсонович,135
Самуил,Самуилович,184
Святослав,Святославович,273
Севастьян,Севастьянович,110
Северьян,Северьянович,0
Селиван,Селиванович,0
Селивёрст,Селивёрстович,0
Селифан,Селифанович,0
Семён,Семёнович,300
Серафим,Серафимович,243
Сергей,Сергеевич,348
Сидор,Сидорович,206
Силантий,Силантиевич,5
Сильвестр,Сильвестрович,48
Симон,Симонович,0
Созон,Созонович,0
Созонт,Созонтович,0
Созонтий,Созонтьевич,0
Соломон,Соломонович,138
Софон,Софонович,0
Софоний,Софониевич,0
Софрон,Софронович,2
Софроний,Софрониевич,0
Спиридон,Спиридонович,186
Спиридоний,Спиридониевич,0
Станислав,Станиславович,312
Степан,Степанович,307
Сысой,Сысоевич,0
Тарас,Тарасович,283
Терентий,Терентиевич,231
Тимофей,Тимофеевич,301
Тимур,Тимурович,298
Тит,Титович,144
Тихон,Тихонович,267
Трифилий,Трифилиевич,0
Трифон,Трифонович,155
Трофим,Трофимович,259
Ульян,Ульянович,0
Устин,Устинович,131
Фадей,Фадеевич,121
Фёдор,Фёдорович,309
Федос,Федосович,0
Федосей,Федосеевич,140
Федот,Федотович,214
Федотий,Федотиевич,0
Феликс,Феликсович,248
Феоктист,Феоктистович,103
Феофан,Феофанович,120
Феофил,Феофилович,0
Феофилакт,Феофилактович,0
Ферапонт,Ферапонтович,0
Филарет,Филаретович,49
Филат,Филатович,52
Филимон,Филимонович,134
Филипий,Филипьевич,0
Филипп,Филиппович,285
Фирс,Фирсович,0
